29,-1,24.49,17.71,78.51,45.94,0.63,-1,-1,-1
29,-1,96.01,360.12,140.43,99.35,0.61,-1,-1,-1
30,-1,21.49,16.00,77.93,45.44,0.73,-1,-1,-1
30,-1,208.43,21.87,56.71,34.07,0.72,-1,-1,-1
31,-1,208.43,21.87,56.72,34.08,0.72,-1,-1,-1
31,-1,19.50,14.65,74.63,43.75,0.64,-1,-1,-1
31,-1,608.59,191.57,31.30,42.51,0.63,-1,-1,-1
31,-1,96.64,359.28,138.14,99.38,0.58,-1,-1,-1
32,-1,208.45,21.85,56.69,34.10,0.72,-1,-1,-1
32,-1,15.64,12.36,74.92,45.08,0.69,-1,-1,-1
32,-1,95.78,360.40,140.67,99.24,0.57,-1,-1,-1
33,-1,208.44,21.85,56.72,34.14,0.72,-1,-1,-1
33,-1,585.23,184.60,54.67,47.54,0.71,-1,-1,-1
33,-1,12.72,11.92,75.05,42.70,0.68,-1,-1,-1
33,-1,95.78,359.93,140.50,99.68,0.55,-1,-1,-1
34,-1,574.61,177.96,65.39,53.57,0.84,-1,-1,-1
34,-1,208.43,21.85,56.71,34.09,0.73,-1,-1,-1
34,-1,10.11,10.98,73.44,42.14,0.72,-1,-1,-1
34,-1,95.64,359.51,140.66,99.63,0.62,-1,-1,-1
35,-1,562.43,174.63,77.19,55.72,0.87,-1,-1,-1
35,-1,8.47,9.74,71.27,42.04,0.80,-1,-1,-1
35,-1,208.45,21.85,56.68,34.09,0.73,-1,-1,-1
35,-1,95.61,359.53,140.84,99.59,0.61,-1,-1,-1
36,-1,550.37,172.25,89.60,57.99,0.84,-1,-1,-1
36,-1,5.92,8.81,70.45,42.20,0.74,-1,-1,-1
36,-1,208.45,21.85,56.68,34.08,0.72,-1,-1,-1
36,-1,95.54,358.86,140.96,100.36,0.67,-1,-1,-1
37,-1,540.41,172.18,99.01,59.46,0.87,-1,-1,-1
37,-1,208.45,21.86,56.68,34.06,0.73,-1,-1,-1
37,-1,95.42,359.71,140.96,99.23,0.62,-1,-1,-1
37,-1,3.06,6.18,70.51,44.09,0.59,-1,-1,-1
38,-1,527.81,169.79,111.92,62.87,0.90,-1,-1,-1
38,-1,1.99,5.28,67.06,43.39,0.76,-1,-1,-1
38,-1,208.44,21.87,56.68,34.03,0.73,-1,-1,-1
38,-1,95.30,359.52,140.99,99.34,0.62,-1,-1,-1
39,-1,516.85,164.18,122.95,71.68,0.89,-1,-1,-1
39,-1,0.00,3.65,68.32,44.09,0.80,-1,-1,-1
39,-1,208.43,21.87,56.70,34.02,0.73,-1,-1,-1
39,-1,95.61,359.33,140.94,99.60,0.58,-1,-1,-1
40,-1,505.28,162.26,134.72,71.44,0.88,-1,-1,-1
40,-1,0.00,3.26,63.24,42.64,0.75,-1,-1,-1
40,-1,208.42,21.88,56.70,34.02,0.74,-1,-1,-1
40,-1,95.88,359.67,140.78,99.16,0.62,-1,-1,-1
41,-1,499.61,159.43,140.39,72.98,0.89,-1,-1,-1
41,-1,0.00,2.65,59.46,41.96,0.81,-1,-1,-1
41,-1,208.41,21.89,56.71,34.01,0.73,-1,-1,-1
41,-1,95.62,359.81,141.26,98.94,0.51,-1,-1,-1
42,-1,484.81,155.57,154.22,70.89,0.91,-1,-1,-1
42,-1,0.00,1.95,56.79,42.58,0.78,-1,-1,-1
42,-1,208.41,21.87,56.72,34.04,0.74,-1,-1,-1
43,-1,473.35,154.06,159.92,70.13,0.90,-1,-1,-1
43,-1,0.00,0.12,54.37,42.24,0.73,-1,-1,-1
43,-1,208.42,21.87,56.71,34.05,0.73,-1,-1,-1
44,-1,463.09,149.05,155.81,72.31,0.88,-1,-1,-1
44,-1,208.40,21.87,56.74,34.06,0.73,-1,-1,-1
44,-1,0.00,0.53,52.12,39.30,0.72,-1,-1,-1
44,-1,95.23,359.55,141.79,99.11,0.53,-1,-1,-1
45,-1,451.69,146.32,158.32,70.12,0.89,-1,-1,-1
45,-1,0.00,0.25,49.00,38.92,0.76,-1,-1,-1
45,-1,208.40,21.87,56.76,34.06,0.73,-1,-1,-1
46,-1,440.58,144.54,155.89,68.84,0.88,-1,-1,-1
46,-1,0.00,0.03,45.60,37.72,0.76,-1,-1,-1
46,-1,208.39,21.88,56.79,34.04,0.73,-1,-1,-1
47,-1,430.98,141.29,154.98,70.28,0.88,-1,-1,-1
47,-1,0.00,0.00,43.27,36.53,0.77,-1,-1,-1
47,-1,208.41,21.85,56.82,34.06,0.73,-1,-1,-1
48,-1,419.75,138.78,153.30,68.96,0.90,-1,-1,-1
48,-1,0.00,0.00,41.46,35.55,0.79,-1,-1,-1
48,-1,208.38,21.82,56.89,34.06,0.73,-1,-1,-1
49,-1,413.54,136.81,148.43,68.21,0.90,-1,-1,-1
49,-1,208.40,21.81,56.85,34.10,0.72,-1,-1,-1
49,-1,0.00,0.00,39.08,34.48,0.67,-1,-1,-1
49,-1,95.08,359.39,141.63,99.20,0.55,-1,-1,-1
50,-1,399.78,132.06,153.44,69.67,0.90,-1,-1,-1
50,-1,208.42,21.76,56.84,34.17,0.72,-1,-1,-1
50,-1,0.00,0.00,36.26,33.71,0.56,-1,-1,-1
50,-1,95.09,359.54,141.70,99.03,0.51,-1,-1,-1
51,-1,391.69,129.68,152.71,68.39,0.90,-1,-1,-1
51,-1,208.43,21.76,56.86,34.20,0.71,-1,-1,-1
51,-1,0.00,0.00,32.52,33.44,0.64,-1,-1,-1
51,-1,95.03,360.17,141.70,98.49,0.56,-1,-1,-1
52,-1,378.14,126.66,154.39,69.14,0.89,-1,-1,-1
52,-1,208.41,21.77,56.84,34.17,0.72,-1,-1,-1
52,-1,0.00,0.00,30.39,31.97,0.63,-1,-1,-1
52,-1,94.95,360.21,141.94,98.34,0.61,-1,-1,-1
53,-1,368.41,123.11,152.31,68.39,0.87,-1,-1,-1
53,-1,0.00,0.00,29.75,29.85,0.74,-1,-1,-1
53,-1,208.41,21.77,56.85,34.17,0.72,-1,-1,-1
53,-1,95.14,359.60,141.93,98.94,0.59,-1,-1,-1
54,-1,357.00,121.00,154.67,67.55,0.92,-1,-1,-1
54,-1,208.39,21.73,56.89,34.22,0.74,-1,-1,-1
54,-1,0.00,0.35,27.66,28.42,0.68,-1,-1,-1
54,-1,95.17,359.40,141.96,99.22,0.58,-1,-1,-1
55,-1,347.83,117.11,152.23,68.91,0.90,-1,-1,-1
